"","Phylum","Class","Order","Family","Genus","Species","Subspecies","Strain","GOLD_Organism_ID","GOLD_Project_ID","IMG_Genome_ID","NCBI_Taxonomy_ID","NCBI_Phylum","NCBI_Class","NCBI_Order","NCBI_Family","NCBI_Genus","NCBI_Species","Article_Url","Metabolic_Traits","AI_Predicted"
"1","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Achromatium","oxaliferum","NA","None","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01222","NA:NA:NA:NA:NA:NA","N"
"2","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","piechaudii","NA","Hugh 366-5, CIP 60.75ATCC 43552, IAM 12591, LMG 1873","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00926","NA:NA:NA:NA:NA:NA","N"
"3","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","ruhlandii","NA","ATCC 15749, DSM 653, IAM 12600","Go0028639","NA","NA","72557","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Achromobacter","ruhlandii","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00926","NA:NA:NA:NA:NA:NA","N"
"4","Firmicutes","Clostridia","Clostridiales","incertae Sedis - Family II","Acidaminobacter","hydrogenoformans","NA","glu 65, CIP 106102, DSM 2784","Go0102864","Gp0102864","2599185234","1120920","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XII. Incertae Sedis","Acidaminobacter","hydrogenoformans","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00722","Fermentation:NA:NA:NA:Endogenous:Acetate;Fermentation:NA:NA:NA:Endogenous:NA","N"
"5","Firmicutes","Clostridia","Clostridiales","Veillonellaceae","Acidaminococcus","fermentans","NA","VR4, ATCC 25085, CCUG 9996, CIP 106432, DSM 20731","Go0001186","Gp0001186","646311901","591001","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","fermentans","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00687","Fermentation:NA:NA:NA:Endogenous:Acetate;Fermentation:NA:NA:NA:Endogenous:NA","N"
"6","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","infernus","NA","So4a, DSMZ 3191","Go0574202","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00397","NA:NA:NA:NA:NA:NA","N"
"7","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","ambivalens","NA","Lei 1, DSMZ 3772","Go0576457, Go0029281","NA","NA","2283","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","ambivalens","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00397","NA:NA:NA:NA:NA:NA","N"
"8","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","brierleyi","NA","DSMZ 1651","Go0032875","Gp0376662","NA","41673","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Acidianus","brierleyi","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm00397","NA:NA:NA:NA:NA:NA","N"
"9","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidicapsa","acidiphila","NA","MCF10, DSM 29819, NCCB100576","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01471","NA:NA:NA:NA:NA:NA","N"
"10","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidicapsa","acidisoli","NA","SK-11, DSM 100508, NBRC 111227","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01471","NA:NA:NA:NA:NA:NA","N"
"11","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidicapsa","borealis","NA","KA1, DSM 23886, LMG 25897","Go0043861","NA","NA","946336","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidicapsa","borealis","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01471","NA:NA:NA:NA:NA:NA","N"
"12","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidicapsa","ferrireducens","NA","MCF9, DSM 28997, NCCB100575","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01471","NA:NA:NA:NA:NA:NA","N"
"13","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidicapsa","ligni","NA","WH120, LMG 26244, VKM B-2677, NCCB 100371","Go0043862","NA","NA","542300","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidicapsa","ligni","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01471","NA:NA:NA:NA:NA:NA","N"
"14","Crenarchaeota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus","aceticus","NA","1904, ATTC BAA-268, DSM 11585, JCM 11320","Go0003443","NA","NA","105851","Crenarchaeota","Thermoprotei","Acidilobales","Acidilobaceae","Acidilobus","aceticus","https://onlinelibrary.wiley.com/doi/full/10.1002/9781118960608.gbm01322","Fermentation:NA:NA:NA:Endogenous:Acetate;Fermentation:NA:NA:NA:Endogenous:NA","N"
